"Subject","trial_type","own.cod","true_class","true_FB","true_LR","lca.class","lca.tc","fb_tend","lr_tend"
15,"FB",1,"5",0.932,1,"4","4",0.5,1
15,"FB",1,"5",0.932,1,"4","4",0.5,1
15,"LR",1,"5",0.932,1,"4","4",0.5,1
15,"LR",1,"5",0.932,1,"4","4",0.5,1
15,"LR",1,"5",0.932,1,"4","4",0.5,1
15,"LR",1,"5",0.932,1,"4","4",0.5,1
16,"FB",0,"25",0,0.946,"4","4",0,1
16,"FB",0,"25",0,0.946,"4","4",0,1
16,"FB",0,"25",0,0.946,"4","4",0,1
16,"FB",0,"25",0,0.946,"4","4",0,1
16,"LR",1,"25",0,0.946,"4","4",0,1
16,"LR",1,"25",0,0.946,"4","4",0,1
16,"LR",1,"25",0,0.946,"4","4",0,1
16,"LR",1,"25",0,0.946,"4","4",0,1
17,"FB",1,"1",1,0,"1","1",1,0
17,"FB",1,"1",1,0,"1","1",1,0
17,"FB",1,"1",1,0,"1","1",1,0
17,"FB",1,"1",1,0,"1","1",1,0
17,"LR",0,"1",1,0,"1","1",1,0
17,"LR",0,"1",1,0,"1","1",1,0
17,"LR",0,"1",1,0,"1","1",1,0
17,"LR",0,"1",1,0,"1","1",1,0
18,"FB",1,"1",0.983,0,"1","1",1,0
18,"FB",1,"1",0.983,0,"1","1",1,0
18,"FB",1,"1",0.983,0,"1","1",1,0
18,"FB",1,"1",0.983,0,"1","1",1,0
18,"LR",0,"1",0.983,0,"1","1",1,0
18,"LR",0,"1",0.983,0,"1","1",1,0
18,"LR",0,"1",0.983,0,"1","1",1,0
18,"LR",0,"1",0.983,0,"1","1",1,0
19,"FB",0,"25",0.057,0.986,"4","4",0,1
19,"FB",0,"25",0.057,0.986,"4","4",0,1
19,"FB",0,"25",0.057,0.986,"4","4",0,1
19,"FB",0,"25",0.057,0.986,"4","4",0,1
19,"LR",1,"25",0.057,0.986,"4","4",0,1
19,"LR",1,"25",0.057,0.986,"4","4",0,1
19,"LR",1,"25",0.057,0.986,"4","4",0,1
19,"LR",1,"25",0.057,0.986,"4","4",0,1
20,"FB",1,"1",1,0.037,"1","1",1,0
20,"FB",1,"1",1,0.037,"1","1",1,0
20,"FB",1,"1",1,0.037,"1","1",1,0
20,"FB",1,"1",1,0.037,"1","1",1,0
20,"LR",0,"1",1,0.037,"1","1",1,0
20,"LR",0,"1",1,0.037,"1","1",1,0
20,"LR",0,"1",1,0.037,"1","1",1,0
20,"LR",0,"1",1,0.037,"1","1",1,0
21,"FB",0,"21",0,0.015,"2","3",0,0.25
21,"FB",0,"21",0,0.015,"2","3",0,0.25
21,"FB",0,"21",0,0.015,"2","3",0,0.25
21,"FB",0,"21",0,0.015,"2","3",0,0.25
21,"LR",0,"21",0,0.015,"2","3",0,0.25
21,"LR",0,"21",0,0.015,"2","3",0,0.25
21,"LR",0,"21",0,0.015,"2","3",0,0.25
21,"LR",1,"21",0,0.015,"2","3",0,0.25
22,"FB",1,"1",1,0,"1","1",1,0
22,"FB",1,"1",1,0,"1","1",1,0
22,"FB",1,"1",1,0,"1","1",1,0
22,"FB",1,"1",1,0,"1","1",1,0
22,"LR",0,"1",1,0,"1","1",1,0
22,"LR",0,"1",1,0,"1","1",1,0
22,"LR",0,"1",1,0,"1","1",1,0
22,"LR",0,"1",1,0,"1","1",1,0
23,"FB",0,"25",0.043,0.957,"4","4",0,1
23,"FB",0,"25",0.043,0.957,"4","4",0,1
23,"FB",0,"25",0.043,0.957,"4","4",0,1
23,"FB",0,"25",0.043,0.957,"4","4",0,1
23,"LR",1,"25",0.043,0.957,"4","4",0,1
23,"LR",1,"25",0.043,0.957,"4","4",0,1
23,"LR",1,"25",0.043,0.957,"4","4",0,1
23,"LR",1,"25",0.043,0.957,"4","4",0,1
24,"FB",0,"25",0.022,0.994,"4","4",0,1
24,"FB",0,"25",0.022,0.994,"4","4",0,1
24,"FB",0,"25",0.022,0.994,"4","4",0,1
24,"FB",0,"25",0.022,0.994,"4","4",0,1
24,"LR",1,"25",0.022,0.994,"4","4",0,1
24,"LR",1,"25",0.022,0.994,"4","4",0,1
24,"LR",1,"25",0.022,0.994,"4","4",0,1
24,"LR",1,"25",0.022,0.994,"4","4",0,1
25,"FB",0,"21",0,0,"2","3",0,0
25,"FB",0,"21",0,0,"2","3",0,0
25,"FB",0,"21",0,0,"2","3",0,0
25,"FB",0,"21",0,0,"2","3",0,0
25,"LR",0,"21",0,0,"2","3",0,0
25,"LR",0,"21",0,0,"2","3",0,0
25,"LR",0,"21",0,0,"2","3",0,0
25,"LR",0,"21",0,0,"2","3",0,0
26,"FB",1,"1",1,0,"1","1",1,0
26,"FB",1,"1",1,0,"1","1",1,0
26,"FB",1,"1",1,0,"1","1",1,0
26,"FB",1,"1",1,0,"1","1",1,0
26,"LR",0,"1",1,0,"1","1",1,0
26,"LR",0,"1",1,0,"1","1",1,0
26,"LR",0,"1",1,0,"1","1",1,0
26,"LR",0,"1",1,0,"1","1",1,0
27,"FB",1,"1",1,0.054,"1","1",1,0
27,"FB",1,"1",1,0.054,"1","1",1,0
27,"FB",1,"1",1,0.054,"1","1",1,0
27,"FB",1,"1",1,0.054,"1","1",1,0
27,"LR",0,"1",1,0.054,"1","1",1,0
27,"LR",0,"1",1,0.054,"1","1",1,0
27,"LR",0,"1",1,0.054,"1","1",1,0
27,"LR",0,"1",1,0.054,"1","1",1,0
28,"FB",0,"25",0,1,"4","4",0,1
28,"FB",0,"25",0,1,"4","4",0,1
28,"FB",0,"25",0,1,"4","4",0,1
28,"FB",0,"25",0,1,"4","4",0,1
28,"LR",1,"25",0,1,"4","4",0,1
28,"LR",1,"25",0,1,"4","4",0,1
28,"LR",1,"25",0,1,"4","4",0,1
28,"LR",1,"25",0,1,"4","4",0,1
29,"FB",0,"21",0.144,0,"2","3",0,0
29,"FB",0,"21",0.144,0,"2","3",0,0
29,"FB",0,"21",0.144,0,"2","3",0,0
29,"FB",0,"21",0.144,0,"2","3",0,0
29,"LR",0,"21",0.144,0,"2","3",0,0
29,"LR",0,"21",0.144,0,"2","3",0,0
29,"LR",0,"21",0.144,0,"2","3",0,0
29,"LR",0,"21",0.144,0,"2","3",0,0
30,"FB",0,"25",0.008,1,"4","4",0,1
30,"FB",0,"25",0.008,1,"4","4",0,1
30,"FB",0,"25",0.008,1,"4","4",0,1
30,"FB",0,"25",0.008,1,"4","4",0,1
30,"LR",1,"25",0.008,1,"4","4",0,1
30,"LR",1,"25",0.008,1,"4","4",0,1
30,"LR",1,"25",0.008,1,"4","4",0,1
30,"LR",1,"25",0.008,1,"4","4",0,1
31,"FB",0,"21",0.016,0.025,"2","3",0,0
31,"FB",0,"21",0.016,0.025,"2","3",0,0
31,"FB",0,"21",0.016,0.025,"2","3",0,0
31,"FB",0,"21",0.016,0.025,"2","3",0,0
31,"LR",0,"21",0.016,0.025,"2","3",0,0
31,"LR",0,"21",0.016,0.025,"2","3",0,0
31,"LR",0,"21",0.016,0.025,"2","3",0,0
31,"LR",0,"21",0.016,0.025,"2","3",0,0
32,"FB",1,"1",0.966,0.036,"1","1",1,0.25
32,"FB",1,"1",0.966,0.036,"1","1",1,0.25
32,"FB",1,"1",0.966,0.036,"1","1",1,0.25
32,"FB",1,"1",0.966,0.036,"1","1",1,0.25
32,"LR",0,"1",0.966,0.036,"1","1",1,0.25
32,"LR",0,"1",0.966,0.036,"1","1",1,0.25
32,"LR",0,"1",0.966,0.036,"1","1",1,0.25
32,"LR",1,"1",0.966,0.036,"1","1",1,0.25
33,"FB",1,"5",1,0.982,"3","2",1,1
33,"FB",1,"5",1,0.982,"3","2",1,1
33,"FB",1,"5",1,0.982,"3","2",1,1
33,"FB",1,"5",1,0.982,"3","2",1,1
33,"LR",1,"5",1,0.982,"3","2",1,1
33,"LR",1,"5",1,0.982,"3","2",1,1
33,"LR",1,"5",1,0.982,"3","2",1,1
33,"LR",1,"5",1,0.982,"3","2",1,1
34,"FB",0,"1",0.965,0,"1","1",0.75,0
34,"FB",1,"1",0.965,0,"1","1",0.75,0
34,"FB",1,"1",0.965,0,"1","1",0.75,0
34,"FB",1,"1",0.965,0,"1","1",0.75,0
34,"LR",0,"1",0.965,0,"1","1",0.75,0
34,"LR",0,"1",0.965,0,"1","1",0.75,0
34,"LR",0,"1",0.965,0,"1","1",0.75,0
34,"LR",0,"1",0.965,0,"1","1",0.75,0
35,"FB",1,"5",1,1,"3","2",1,1
35,"FB",1,"5",1,1,"3","2",1,1
35,"FB",1,"5",1,1,"3","2",1,1
35,"FB",1,"5",1,1,"3","2",1,1
35,"LR",1,"5",1,1,"3","2",1,1
35,"LR",1,"5",1,1,"3","2",1,1
35,"LR",1,"5",1,1,"3","2",1,1
35,"LR",1,"5",1,1,"3","2",1,1
36,"FB",0,"25",0.012,0.96,"4","4",0,1
36,"FB",0,"25",0.012,0.96,"4","4",0,1
36,"FB",0,"25",0.012,0.96,"4","4",0,1
36,"FB",0,"25",0.012,0.96,"4","4",0,1
36,"LR",1,"25",0.012,0.96,"4","4",0,1
36,"LR",1,"25",0.012,0.96,"4","4",0,1
36,"LR",1,"25",0.012,0.96,"4","4",0,1
36,"LR",1,"25",0.012,0.96,"4","4",0,1
37,"FB",0,"25",0,1,"4","4",0,1
37,"FB",0,"25",0,1,"4","4",0,1
37,"FB",0,"25",0,1,"4","4",0,1
37,"FB",0,"25",0,1,"4","4",0,1
37,"LR",1,"25",0,1,"4","4",0,1
37,"LR",1,"25",0,1,"4","4",0,1
37,"LR",1,"25",0,1,"4","4",0,1
37,"LR",1,"25",0,1,"4","4",0,1
38,"FB",0,"25",0,0.968,"4","4",0,0.75
38,"FB",0,"25",0,0.968,"4","4",0,0.75
38,"FB",0,"25",0,0.968,"4","4",0,0.75
38,"FB",0,"25",0,0.968,"4","4",0,0.75
38,"LR",0,"25",0,0.968,"4","4",0,0.75
38,"LR",1,"25",0,0.968,"4","4",0,0.75
38,"LR",1,"25",0,0.968,"4","4",0,0.75
38,"LR",1,"25",0,0.968,"4","4",0,0.75
39,"FB",1,"1",1,0.002,"1","1",1,0
39,"FB",1,"1",1,0.002,"1","1",1,0
39,"FB",1,"1",1,0.002,"1","1",1,0
39,"FB",1,"1",1,0.002,"1","1",1,0
39,"LR",0,"1",1,0.002,"1","1",1,0
39,"LR",0,"1",1,0.002,"1","1",1,0
39,"LR",0,"1",1,0.002,"1","1",1,0
39,"LR",0,"1",1,0.002,"1","1",1,0
40,"FB",1,"5",1,1,"3","2",1,1
40,"FB",1,"5",1,1,"3","2",1,1
40,"FB",1,"5",1,1,"3","2",1,1
40,"FB",1,"5",1,1,"3","2",1,1
40,"LR",1,"5",1,1,"3","2",1,1
40,"LR",1,"5",1,1,"3","2",1,1
40,"LR",1,"5",1,1,"3","2",1,1
40,"LR",1,"5",1,1,"3","2",1,1
41,"FB",0,"25",0,0.956,"4","4",0,1
41,"FB",0,"25",0,0.956,"4","4",0,1
41,"FB",0,"25",0,0.956,"4","4",0,1
41,"FB",0,"25",0,0.956,"4","4",0,1
41,"LR",1,"25",0,0.956,"4","4",0,1
41,"LR",1,"25",0,0.956,"4","4",0,1
41,"LR",1,"25",0,0.956,"4","4",0,1
41,"LR",1,"25",0,0.956,"4","4",0,1
42,"FB",0,"21",0.109,0.04,"2","3",0,0
42,"FB",0,"21",0.109,0.04,"2","3",0,0
42,"FB",0,"21",0.109,0.04,"2","3",0,0
42,"FB",0,"21",0.109,0.04,"2","3",0,0
42,"LR",0,"21",0.109,0.04,"2","3",0,0
42,"LR",0,"21",0.109,0.04,"2","3",0,0
42,"LR",0,"21",0.109,0.04,"2","3",0,0
42,"LR",0,"21",0.109,0.04,"2","3",0,0
43,"FB",1,"1",1,0,"1","1",1,0
43,"FB",1,"1",1,0,"1","1",1,0
43,"FB",1,"1",1,0,"1","1",1,0
43,"FB",1,"1",1,0,"1","1",1,0
43,"LR",0,"1",1,0,"1","1",1,0
43,"LR",0,"1",1,0,"1","1",1,0
43,"LR",0,"1",1,0,"1","1",1,0
43,"LR",0,"1",1,0,"1","1",1,0
44,"FB",0,"21",0,0,"2","3",0,0
44,"FB",0,"21",0,0,"2","3",0,0
44,"FB",0,"21",0,0,"2","3",0,0
44,"FB",0,"21",0,0,"2","3",0,0
44,"LR",0,"21",0,0,"2","3",0,0
44,"LR",0,"21",0,0,"2","3",0,0
44,"LR",0,"21",0,0,"2","3",0,0
44,"LR",0,"21",0,0,"2","3",0,0
45,"FB",0,"21",0,0.081,"2","3",0,0
45,"FB",0,"21",0,0.081,"2","3",0,0
45,"FB",0,"21",0,0.081,"2","3",0,0
45,"FB",0,"21",0,0.081,"2","3",0,0
45,"LR",0,"21",0,0.081,"2","3",0,0
45,"LR",0,"21",0,0.081,"2","3",0,0
45,"LR",0,"21",0,0.081,"2","3",0,0
45,"LR",0,"21",0,0.081,"2","3",0,0
46,"FB",0,"21",0.006,0,"2","3",0,0
46,"FB",0,"21",0.006,0,"2","3",0,0
46,"FB",0,"21",0.006,0,"2","3",0,0
46,"FB",0,"21",0.006,0,"2","3",0,0
46,"LR",0,"21",0.006,0,"2","3",0,0
46,"LR",0,"21",0.006,0,"2","3",0,0
46,"LR",0,"21",0.006,0,"2","3",0,0
46,"LR",0,"21",0.006,0,"2","3",0,0
47,"FB",0,"21",0,0.043,"2","3",0,0
47,"FB",0,"21",0,0.043,"2","3",0,0
47,"FB",0,"21",0,0.043,"2","3",0,0
47,"FB",0,"21",0,0.043,"2","3",0,0
47,"LR",0,"21",0,0.043,"2","3",0,0
47,"LR",0,"21",0,0.043,"2","3",0,0
47,"LR",0,"21",0,0.043,"2","3",0,0
47,"LR",0,"21",0,0.043,"2","3",0,0
48,"FB",0,"21",0,0.007,"2","3",0,0
48,"FB",0,"21",0,0.007,"2","3",0,0
48,"FB",0,"21",0,0.007,"2","3",0,0
48,"FB",0,"21",0,0.007,"2","3",0,0
48,"LR",0,"21",0,0.007,"2","3",0,0
48,"LR",0,"21",0,0.007,"2","3",0,0
48,"LR",0,"21",0,0.007,"2","3",0,0
48,"LR",0,"21",0,0.007,"2","3",0,0
49,"FB",1,"1",0.991,0,"1","1",1,0
49,"FB",1,"1",0.991,0,"1","1",1,0
49,"FB",1,"1",0.991,0,"1","1",1,0
49,"FB",1,"1",0.991,0,"1","1",1,0
49,"LR",0,"1",0.991,0,"1","1",1,0
49,"LR",0,"1",0.991,0,"1","1",1,0
49,"LR",0,"1",0.991,0,"1","1",1,0
49,"LR",0,"1",0.991,0,"1","1",1,0
50,"FB",0,"25",0.092,0.987,"4","4",0,1
50,"FB",0,"25",0.092,0.987,"4","4",0,1
50,"FB",0,"25",0.092,0.987,"4","4",0,1
50,"FB",0,"25",0.092,0.987,"4","4",0,1
50,"LR",1,"25",0.092,0.987,"4","4",0,1
50,"LR",1,"25",0.092,0.987,"4","4",0,1
50,"LR",1,"25",0.092,0.987,"4","4",0,1
50,"LR",1,"25",0.092,0.987,"4","4",0,1
51,"FB",0,"21",0,0,"2","3",0,0
51,"FB",0,"21",0,0,"2","3",0,0
51,"FB",0,"21",0,0,"2","3",0,0
51,"FB",0,"21",0,0,"2","3",0,0
51,"LR",0,"21",0,0,"2","3",0,0
51,"LR",0,"21",0,0,"2","3",0,0
51,"LR",0,"21",0,0,"2","3",0,0
51,"LR",0,"21",0,0,"2","3",0,0
52,"FB",1,"5",1,0.933,"3","2",1,1
52,"FB",1,"5",1,0.933,"3","2",1,1
52,"FB",1,"5",1,0.933,"3","2",1,1
52,"FB",1,"5",1,0.933,"3","2",1,1
52,"LR",1,"5",1,0.933,"3","2",1,1
52,"LR",1,"5",1,0.933,"3","2",1,1
52,"LR",1,"5",1,0.933,"3","2",1,1
52,"LR",1,"5",1,0.933,"3","2",1,1
53,"FB",0,"25",0,0.972,"4","4",0,1
53,"FB",0,"25",0,0.972,"4","4",0,1
53,"FB",0,"25",0,0.972,"4","4",0,1
53,"FB",0,"25",0,0.972,"4","4",0,1
53,"LR",1,"25",0,0.972,"4","4",0,1
53,"LR",1,"25",0,0.972,"4","4",0,1
53,"LR",1,"25",0,0.972,"4","4",0,1
53,"LR",1,"25",0,0.972,"4","4",0,1
54,"FB",0,"21",0.055,0.008,"2","3",0,0
54,"FB",0,"21",0.055,0.008,"2","3",0,0
54,"FB",0,"21",0.055,0.008,"2","3",0,0
54,"FB",0,"21",0.055,0.008,"2","3",0,0
54,"LR",0,"21",0.055,0.008,"2","3",0,0
54,"LR",0,"21",0.055,0.008,"2","3",0,0
54,"LR",0,"21",0.055,0.008,"2","3",0,0
54,"LR",0,"21",0.055,0.008,"2","3",0,0
55,"FB",0,"21",0,0,"2","3",0,0
55,"FB",0,"21",0,0,"2","3",0,0
55,"FB",0,"21",0,0,"2","3",0,0
55,"FB",0,"21",0,0,"2","3",0,0
55,"LR",0,"21",0,0,"2","3",0,0
55,"LR",0,"21",0,0,"2","3",0,0
55,"LR",0,"21",0,0,"2","3",0,0
55,"LR",0,"21",0,0,"2","3",0,0
56,"FB",1,"5",0.959,1,"3","2",1,1
56,"FB",1,"5",0.959,1,"3","2",1,1
56,"FB",1,"5",0.959,1,"3","2",1,1
56,"FB",1,"5",0.959,1,"3","2",1,1
56,"LR",1,"5",0.959,1,"3","2",1,1
56,"LR",1,"5",0.959,1,"3","2",1,1
56,"LR",1,"5",0.959,1,"3","2",1,1
56,"LR",1,"5",0.959,1,"3","2",1,1
57,"FB",1,"5",1,0.985,"3","2",1,1
57,"FB",1,"5",1,0.985,"3","2",1,1
57,"FB",1,"5",1,0.985,"3","2",1,1
57,"FB",1,"5",1,0.985,"3","2",1,1
57,"LR",1,"5",1,0.985,"3","2",1,1
57,"LR",1,"5",1,0.985,"3","2",1,1
57,"LR",1,"5",1,0.985,"3","2",1,1
57,"LR",1,"5",1,0.985,"3","2",1,1
58,"FB",0,"25",0,1,"4","4",0,1
58,"FB",0,"25",0,1,"4","4",0,1
58,"FB",0,"25",0,1,"4","4",0,1
58,"FB",0,"25",0,1,"4","4",0,1
58,"LR",1,"25",0,1,"4","4",0,1
58,"LR",1,"25",0,1,"4","4",0,1
58,"LR",1,"25",0,1,"4","4",0,1
58,"LR",1,"25",0,1,"4","4",0,1
59,"FB",1,"1",0.985,0.049,"1","1",1,0
59,"FB",1,"1",0.985,0.049,"1","1",1,0
59,"FB",1,"1",0.985,0.049,"1","1",1,0
59,"FB",1,"1",0.985,0.049,"1","1",1,0
59,"LR",0,"1",0.985,0.049,"1","1",1,0
59,"LR",0,"1",0.985,0.049,"1","1",1,0
59,"LR",0,"1",0.985,0.049,"1","1",1,0
59,"LR",0,"1",0.985,0.049,"1","1",1,0
60,"FB",0,"21",0.006,0,"2","3",0,0
60,"FB",0,"21",0.006,0,"2","3",0,0
60,"FB",0,"21",0.006,0,"2","3",0,0
60,"FB",0,"21",0.006,0,"2","3",0,0
60,"LR",0,"21",0.006,0,"2","3",0,0
60,"LR",0,"21",0.006,0,"2","3",0,0
60,"LR",0,"21",0.006,0,"2","3",0,0
60,"LR",0,"21",0.006,0,"2","3",0,0
61,"FB",0,"21",0.045,0.017,"2","3",0,0.25
61,"FB",0,"21",0.045,0.017,"2","3",0,0.25
61,"FB",0,"21",0.045,0.017,"2","3",0,0.25
61,"FB",0,"21",0.045,0.017,"2","3",0,0.25
61,"LR",0,"21",0.045,0.017,"2","3",0,0.25
61,"LR",0,"21",0.045,0.017,"2","3",0,0.25
61,"LR",0,"21",0.045,0.017,"2","3",0,0.25
61,"LR",1,"21",0.045,0.017,"2","3",0,0.25
62,"FB",0,"21",0.038,0,"2","3",0,0
62,"FB",0,"21",0.038,0,"2","3",0,0
62,"FB",0,"21",0.038,0,"2","3",0,0
62,"FB",0,"21",0.038,0,"2","3",0,0
62,"LR",0,"21",0.038,0,"2","3",0,0
62,"LR",0,"21",0.038,0,"2","3",0,0
62,"LR",0,"21",0.038,0,"2","3",0,0
62,"LR",0,"21",0.038,0,"2","3",0,0
63,"FB",1,"5",1,1,"3","2",1,1
63,"FB",1,"5",1,1,"3","2",1,1
63,"FB",1,"5",1,1,"3","2",1,1
63,"FB",1,"5",1,1,"3","2",1,1
63,"LR",1,"5",1,1,"3","2",1,1
63,"LR",1,"5",1,1,"3","2",1,1
63,"LR",1,"5",1,1,"3","2",1,1
63,"LR",1,"5",1,1,"3","2",1,1
64,"FB",0,"25",0,0.941,"4","4",0,1
64,"FB",0,"25",0,0.941,"4","4",0,1
64,"FB",0,"25",0,0.941,"4","4",0,1
64,"FB",0,"25",0,0.941,"4","4",0,1
64,"LR",1,"25",0,0.941,"4","4",0,1
64,"LR",1,"25",0,0.941,"4","4",0,1
64,"LR",1,"25",0,0.941,"4","4",0,1
64,"LR",1,"25",0,0.941,"4","4",0,1
65,"FB",1,"1",0.991,0,"1","1",1,0
65,"FB",1,"1",0.991,0,"1","1",1,0
65,"FB",1,"1",0.991,0,"1","1",1,0
65,"FB",1,"1",0.991,0,"1","1",1,0
65,"LR",0,"1",0.991,0,"1","1",1,0
65,"LR",0,"1",0.991,0,"1","1",1,0
65,"LR",0,"1",0.991,0,"1","1",1,0
65,"LR",0,"1",0.991,0,"1","1",1,0
66,"FB",0,"25",0,1,"4","4",0,1
66,"FB",0,"25",0,1,"4","4",0,1
66,"FB",0,"25",0,1,"4","4",0,1
66,"FB",0,"25",0,1,"4","4",0,1
66,"LR",1,"25",0,1,"4","4",0,1
66,"LR",1,"25",0,1,"4","4",0,1
66,"LR",1,"25",0,1,"4","4",0,1
66,"LR",1,"25",0,1,"4","4",0,1
67,"FB",1,"1",0.955,0.095,"1","1",1,0.25
67,"FB",1,"1",0.955,0.095,"1","1",1,0.25
