,perspective,targetObj,targetPos,respObjPos,utteranceOffsetTime,respDropTime,respTime,gender,age,acc,total,accuracy.prop,own.cod,other.cod,meanRespTime,sdRespTime,upper,byPptMeanRespTime,logRespTime,responderType,aq_score_subset,opt_score_total,opt_n,opt_score,congruent,incongruent,stroop_difference,aq_score_subset_centred,aq_score_subset_centred_scaled,opt_score_centred,opt_score_centred_scaled,stroop_difference_centred,stroop_difference_centred_scaled,perspective_cod
11,same,lemon,R,L,1639521007823,1638903634681,4022,male,52,43,44,0.9762840837733001,1,0,1633.656921290084,1462.8984117906364,6022.350830701748,1549.048693625917,8.060433857177262,egocentric,57,522,12,97.32178938349732,981.3520395743844,1040.2538864326627,233.07438826963113,13.750655109716272,0.09885891492827856,45.52878481457527,0.1437703572470337,87.4566946433547,0.6242986487981315,-0.49345055668735316
12,different,lemon,B,F,1638518214192,1638624078668,3887,male,35,38,44,0.8507266524026021,0,1,1633.6575444633584,1462.8978995775958,6022.350783554415,2048.5322316949805,7.751344620940618,mixed,51,1080,12,81.21993715784613,1184.6857800507223,1349.0160096380582,299.9044968087497,2.152472075433117,-0.060797703535681376,28.264260823496667,0.2432366653480437,94.13794861651326,1.0898704313154612,0.49863286499226156
13,same,potato,F,F,1639436420729,1638837593760,2748,female,28,40,44,0.9173516986348079,0,1,1633.6558896442261,1462.8983537285521,6022.351018510376,1161.1197924617045,6.627858275533166,mixed,57,277,12,20.501970820356302,771.2676950944099,1077.0132422834365,166.14827989946977,15.634156993083506,0.09611083896082981,-38.35278168829222,-0.4011034931557274,12.838371097950294,0.9121039562095188,0.49020157071961723
14,different,coconut,B,F,1638800385945,1639432390869,696,male,36,44,44,0.9993700930533655,0,1,1633.6573362347192,1462.8978179510073,6022.350728884384,1645.9031231055249,6.967494792139873,othercentric,47,1159,12,99.55035445501638,712.8929999665595,965.2400763805972,185.31744245710058,-9.38105378536356,-0.09342966736576458,44.56453746332457,0.36749966933318967,-28.85401533779232,0.2774078717853081,0.4895035618165624
15,different,clock,F,B,1639414450398,1638995471233,687,female,40,43,44,0.9998973595697707,1,0,1633.6566900482367,1462.898338108651,6022.349558462721,1605.3768275931734,6.26083712305136,egocentric,26,529,12,13.689956150501224,733.9132904806418,655.0379651471765,124.78882496208001,-17.799522254016598,-0.14161853278856007,-34.786067872228585,-0.37310214865602115,-87.21316891350016,-0.7183730376411599,0.49871634089058653
16,different,key,R,R,1639447133304,1639501868710,541,other,35,44,44,0.9985146078048648,1,0,1633.656010272386,1462.897801545479,6022.3502458551775,2581.770566709305,6.451077802757061,egocentric,32,138,12,6.438971811880116,641.7439836147823,979.968528922895,164.7234836508536,-6.161181929688805,-0.04385823530425877,-53.96113482240604,-0.49788044775304574,-56.630905063960626,0.262546190847795,0.5075827728104673
17,same,lemon,L,B,1638826140253,1638832135458,746,male,30,44,44,0.8500975718019483,1,0,1633.6564968353277,1462.8976371337808,6022.350299171169,715.5474421509333,6.229374663950008,egocentric,40,1258,12,113.9694175472847,647.581899327928,786.8211183362581,272.7134488758668,-4.67446195530587,-0.03327827671503336,50.46524228437946,0.5358363307448027,-8.67063916511717,-0.3221101238957318,-0.481025932414252
18,same,cap,L,L,1638993792872,1639507698494,1031,male,48,43,44,1.0001063103517274,1,0,1633.6583857724377,1462.8981759559058,6022.350361885038,763.1443379906051,7.0641373905454286,mixed,49,366,12,30.123150892060274,808.6284882750797,837.2726209642441,315.844719961537,-4.1030905168034195,-0.017601078816449373,26.548973215979814,-0.2146602426525932,76.11853647283593,0.9660942884713314,-0.4990530760647047
19,same,lemon,R,L,1639466567465,1639540155804,2366,male,47,40,44,0.904551822076945,0,1,1633.6576981096634,1462.8974640611602,6022.351031293427,1982.164387725341,6.338889208021239,mixed,60,214,12,93.06417173256598,605.0248742226859,706.8414007627842,242.66285074069108,6.672144660495693,0.054856423094649734,45.44029055519872,-0.44064848595043593,-2.876227370193039,-0.14284882545111097,0.4934261886991113
20,different,cap,B,L,1639426545427,1639194860710,1208,female,58,44,44,1.0013582663618947,1,0,1633.6572246567941,1462.8975770760742,6022.350921069074,928.8964713992234,6.961314296884903,egocentric,40,922,12,79.14739344502317,930.2758076286328,912.6320158611618,181.27765733538692,-3.725860978888334,-0.04552488068594027,17.79354715644128,0.16418709572668366,-21.965888256643446,-0.424193977874797,-0.489122621824889
21,same,clock,R,F,1639492971863,1639496172314,1515,male,31,44,44,0.9534900957006733,0,1,1633.656963958307,1462.8980876921198,6022.3509987154575,976.9607526777785,7.0550152541285005,mixed,60,231,12,11.114838327849212,609.3666706196859,980.0436804368284,318.2553735205471,18.021397461656704,0.01735048969059482,-51.102791768518124,-0.4148682331921548,40.45703877418772,0.3598542525621391,-0.4929816704486645
22,same,glove,R,R,1639090441517,1639099562684,574,male,39,39,44,0.9062445220981465,1,1,1633.656555682659,1462.898483694398,6022.350678224084,814.7874711438593,5.986145726306047,mixed,54,119,12,13.566252572872237,746.4832386594013,1031.4086789466214,131.83168164937027,7.647132551571716,0.06055857954184379,-51.585037452129484,-0.4586070967929629,-61.937133783786415,0.9223657652253009,-0.5085715629275998
23,same,crab,F,L,1639503469243,1638633854709,935,male,36,44,44,1.0006365686828385,1,0,1633.656802843003,1462.8977443549416,6022.350505790653,1295.674980906159,6.600170331774819,mixed,36,678,12,54.08312363715865,680.5427051802088,749.5662167126208,171.15461848586588,-12.012491769775384,-0.06018489025495689,43.24230929395686,0.3886273296291039,91.75749710152628,0.6241112127071426,-0.49446970023967307
24,same,kettle,L,B,1639467540938,1639500673492,824,female,29,43,44,0.9189923932897537,1,0,1633.6562742427,1462.8981969266433,6022.350866542422,1560.9284951219954,6.774743585524013,mixed,54,1306,12,48.50031752361887,977.5644011248095,1095.2090228543511,285.0831541138335,-13.842613067396943,0.06827544303598536,33.03080760141038,-0.4019482077731409,-35.7785783569836,-0.34266611031811534,-0.5035074219602607
25,different,stapler,B,F,1638999266354,1639023725160,710,male,26,44,44,0.9991686158521371,0,1,1633.657238015552,1462.8979834785353,6022.35094405294,1655.2933595000702,7.401083311910442,egocentric,53,974,12,81.51828108527654,964.1683675070182,792.5342783226549,164.1370461205498,-2.2006074025631226,0.04498272411531506,-41.42148843477712,-0.15482005899057857,-44.06305226085241,-0.05872133851004797,0.5148463035707173
26,different,clock,L,L,1639168212033,1639443194490,654,male,30,44,44,1.0011615569260108,1,0,1633.656833372088,1462.897874010735,6022.351231640216,1832.7937926288007,6.044948568713881,egocentric,43,261,12,27.338572129800674,720.3161308817752,838.6075171344701,367.1025153907209,-1.6366498772507159,-0.03086238571762869,24.593480308100226,0.14738649914449614,86.68229934446033,0.10927941837667965,0.4895124447413939
27,same,frog,L,L,1638989486444,1638834958742,2955,female,25,44,44,1.000648196576247,1,0,1633.6569554277016,1462.8973360428743,6022.351091371023,1954.75390502024,6.311287023076624,mixed,54,1148,12,82.66939592193343,651.6728418287469,1017.6543727550337,213.38545575851316,5.932343980911521,0.059489046731504965,31.16131138436782,0.21405151669187317,99.0542759699864,0.4174378466094776,-0.5050681207824514
28,same,clock,R,R,1639169394515,1639007721820,485,male,38,43,44,0.9993996454696197,1,0,1633.6568680774722,1462.8979337305516,6022.350437582044,784.1985935464277,6.4936282091722966,othercentric,21,1096,12,88.89860879373366,647.623054496002,934.9251861960885,242.7597526652615,2.844638793796371,0.027913960536611646,21.42041777606861,0.4474696698875528,55.84232680519597,1.0591232836067745,-0.47519052530556394
29,same,vase,F,B,1639084314335,1638578422003,2869,male,38,38,44,0.9563088371870099,1,0,1633.65707424939,1462.898900140294,6022.35129689073,947.1700737691755,7.772124163484619,mixed,41,1299,12,112.71250376738332,807.0370792719433,880.8657399083494,205.5506521416757,-3.3141459376759053,-0.038953398411490724,39.60436094363954,0.6226335489725521,83.2506588421337,1.2415518199148905,-0.5102247752053529
30,different,cap,L,B,1638989475761,1638902289660,2289,female,42,42,44,0.8427723957263008,1,0,1633.6572623008599,1462.8982730585508,6022.350104812038,968.8503725216253,7.871493248831127,egocentric,49,1367,12,117.95547087674825,752.4311197655682,760.5231651482204,62.54108807481248,-2.5334886130387466,0.03976525535560892,45.8791234517223,0.6132089454044805,-144.42776752430038,-1.1617567168690204,0.50651775167105
31,same,crab,F,R,1639162142329,1638999823978,880,male,37,44,44,1.0002578985255823,0,1,1633.6565605895203,1462.8983473527448,6022.350245147618,1263.2657887766318,6.9418669716637496,othercentric,37,230,12,25.93554398366997,782.4354670192446,1119.5537365660778,125.58436351949182,8.033772153942817,0.07976330046053505,-38.00667226233302,-0.3050308701615719,8.798568080038159,0.6182632339511233,-0.5028408808398127
32,same,coconut,F,L,1639477955733,1639469860983,949,male,35,44,44,1.000525883549368,1,0,1633.657340614874,1462.8978174492859,6022.350828630713,1543.9448231082897,6.675325225350793,mixed,59,149,12,10.180296410334389,726.8206166173364,1032.545773945053,273.9792915553087,5.318359737284594,0.18573167205819935,-55.64622735456976,-0.5070468434887969,68.5603009266015,1.0995705075752564,-0.4775893438520395
33,different,key,B,B,1638999321264,1639007013343,860,male,56,44,44,1.0013247764655757,1,0,1633.6569827213716,1462.8982636768544,6022.351487031296,1385.3060375435625,6.602191672566493,othercentric,25,426,12,42.72719777960461,710.6780868194388,826.8612043952728,238.61711898425963,-10.054400967897516,-0.17373937172022058,-18.772189707739383,-0.2044295679603254,59.38449541491113,0.017804802137703024,0.5012024473405614
34,same,cap,L,L,1638798423580,1638814263011,1031,male,63,44,44,0.9996667100159226,1,0,1633.6566092036287,1462.8976503996616,6022.350529460564,1412.4760333736801,7.456151893619843,othercentric,40,1042,12,83.34026590805436,729.4683629041076,652.5648027881473,232.84245918381393,-13.442927997896032,-0.10588345908660174,-38.462127904234706,-0.3713079333982079,-121.21839237815516,-0.4670886464470614,0.48663447512390756
35,same,key,B,L,1639163400713,1638913239355,505,female,63,44,44,1.0005400440538594,1,0,1633.656412523749,1462.898342471643,6022.351277389147,1340.3181988633246,7.101262903536602,egocentric,42,798,12,51.11968933808943,980.4317985921202,733.5003333439464,70.22043982626909,-18.77979398761317,0.08166986554094344,-9.110572721292765,-0.06413478903869867,-59.76415646030419,-0.4261952864978294,-0.4973483884678585
36,same,key,F,R,1639494935688,1638851192974,1632,male,30,44,44,0.9993957936907688,1,0,1633.6570505623756,1462.89774399854,6022.352002295933,1413.2441498807962,7.513631553898195,mixed,48,1536,12,127.06344279542633,718.4669780165129,1118.1262895541927,193.0650046645421,3.2248896188966856,0.024624659510012976,52.35618343683015,0.5816298001519226,102.03156644166313,1.4084189687730237,-0.4998097207879187
37,different,lemon,F,F,1638896112472,1639002007653,775,male,38,43,44,0.9769876558144386,1,0,1633.6562416748168,1462.8981042646376,6022.350168245683,2463.0464307447833,7.7274729138647675,egocentric,32,1516,12,122.96549644734245,781.3660260719593,833.6434919964133,75.65961060500771,5.215797994675446,0.04089603002268205,59.42756823007673,0.6437363964204696,-74.30861337568999,-0.9822153148932742,0.49068218562499977
38,different,crab,F,R,1639006817431,1638933574490,1389,male,29,44,44,0.9996841091806864,1,0,1633.6570149682223,1462.8975820442724,6022.351626807228,1263.6213416909966,6.5186317448975295,egocentric,35,1285,12,48.99786534463509,608.8705608859757,933.8009660974285,110.8707513966948,-3.8197305649130886,0.06664362752015596,-29.749990612572226,-0.2933717814667007,-59.49474102447782,-0.9910207555705036,0.5063093454652802
39,same,clock,R,F,1639416327421,1639010415939,793,male,27,44,44,0.9560915127010534,1,0,1633.6572255576757,1462.8976928165769,6022.351464572959,1225.2248934750842,7.616547220727384,mixed,51,1272,12,33.46838321576865,891.0269715237953,965.5180130391914,105.99050301584724,-17.363028016457562,0.031045630222440286,-29.719728266232476,0.21983747087860486,19.99828118969417,0.6357381894844638,-0.5065049817068004
40,same,frog,R,F,1639477618646,1639003183184,657,female,42,44,44,1.0007517815656768,1,0,1633.6563765751903,1462.8978242704686,6022.351306971702,1342.6616604581382,6.459781120737521,mixed,31,126,12,68.1219491593471,614.7596857519635,890.9727973380453,271.0873006563805,-8.293922051879825,-0.18244657645933693,-45.94217930564419,0.1309843670326576,112.89239380119623,0.8456233752185003,-0.4939860560002305
41,different,shoe,L,F,1639436117364,1639428336404,671,male,43,44,44,0.9998560704412542,0,1,1633.6571034393992,1462.8982156233649,6022.349505580006,1171.9301205755735,6.148194164239023,othercentric,50,243,12,27.60701986119023,712.3377500241553,807.1053846324322,282.18616018149356,-3.1163238138625284,0.03125412504310218,-32.981603170828365,-0.28770451865859636,-7.443016523299644,0.7913103662669301,0.5161441555396125
42,different,plant,B,B,1639454365773,1639524636977,461,male,45,44,44,0.8391200024467668,1,0,1633.656523358895,1462.8976774668745,6022.351129016311,1269.5839786138108,6.747734718033092,mixed,53,1079,12,5.22635473782076,620.983237315613,979.612758858447,126.93486551693996,-10.86924145364116,0.17341118387937052,-44.09538255831202,-0.03107158984989542,-64.04396964677608,-0.5808337023557869,0.4906181562991228
43,different,lemon,F,R,1638815629532,1639190327801,2944,male,33,44,44,0.9989466382282278,0,1,1633.6570731225877,1462.8970292740948,6022.350451222025,1516.47201864838,7.861261879783651,othercentric,40,1152,12,99.54270034169939,628.426130315417,815.4111681583285,213.09144321685633,-4.968682033398865,0.05276782265061336,42.61034761797196,0.3592200870001243,-18.150936207594125,0.922668699766525,0.519514399684976
44,same,plant,R,L,1639470942716,1639469943893,1923,female,32,44,44,0.9112307945053726,1,0,1633.6564293243252,1462.897902295929,6022.351818311423,2163.392650578548,6.952100278908201,mixed,65,1288,12,98.19913689016349,658.4228396903319,909.3228930695382,205.54893024794265,-1.6309120067552931,0.07791340347146164,40.460044379534644,0.46677338276900987,4.974747195266588,0.014670043582484997,-0.49331105839040745
45,different,potato,L,L,1638579473128,1639175566897,2135,female,50,42,44,0.9779831625148692,1,0,1633.6575298080745,1462.8977512447466,6022.350810903265,1642.5761483615686,7.356569959250728,egocentric,39,1212,12,117.2867036614999,711.9127449660673,966.558080156829,183.78360692716848,-5.4604857753171725,0.059037743855338144,64.35045304503683,0.6130997609960358,-11.270171708779744,-0.17727030194673965,0.5015730495643171
46,different,key,F,F,1639080783620,1639422473872,533,male,46,44,44,1.0008969220923751,1,1,1633.6564654095923,1462.8980026051827,6022.351492017402,1317.208461724624,7.295413629381616,othercentric,51,56,12,7.1368913574291,743.214942401616,1112.0006399206768,255.43247388938087,20.991290947292295,0.24025052103129144,-42.35768086562662,-0.4742840211627173,133.6408750306231,-0.16501289673891417,0.493783344285692
47,different,kettle,L,L,1639009846558,1638898257692,1146,female,41,44,44,1.0003852358518595,1,0,1633.6571673939839,1462.899146288502,6022.351053156703,1709.5647152845718,6.884742278356198,egocentric,29,721,12,61.416931727449516,599.9436624360346,792.3362993875853,150.76356998762793,8.039885502836025,0.03553304471463145,-7.108655557504301,0.07057500337748879,68.07406329590432,1.3018379750828735,0.5011537884496762
48,same,stapler,L,R,1639002507577,1639015988750,590,female,25,44,44,0.9991733189034259,1,0,1633.6573778252748,1462.8976278715108,6022.350899282391,3681.0200867276885,6.939286478674531,egocentric,41,634,12,41.06870750916594,767.1788382208586,1086.3396793998627,283.41233948005606,19.909415936849996,0.1506056441615518,-45.96470390172206,-0.190409877358702,-41.20239919217546,0.5878886639944966,-0.49508314905418893
49,different,key,F,F,1639159908934,1639179395928,1033,male,34,44,44,1.000171446001893,0,1,1633.6573761890634,1462.8978288640892,6022.351057783696,1595.9239330638923,7.528358525445646,othercentric,29,276,12,20.29572780497624,710.0309232888316,811.0971217492555,155.76358008058705,-5.433087743663382,0.03522295626703099,-38.31201525675941,-0.2394291069602291,39.238895462345305,-0.180820084980517,0.5210116415712518
50,different,shoe,F,B,1639392700949,1639442688899,2411,female,27,44,44,1.0008538711653125,1,1,1633.656988967145,1462.898335834844,6022.350293566687,1964.5331486870666,7.665821149691875,mixed,41,514,12,111.0491936764032,734.2542016815266,819.4100022635738,54.10474102536263,-18.275758084226045,0.04039254130071735,7.367142932296083,0.04696017610556483,-2.4467155852875635,-1.2225611333653317,0.5063470856423247
51,same,clock,F,B,1638820672604,1638830356297,994,female,28,44,44,0.9991155444552043,1,0,1633.6573155485876,1462.897039520678,6022.350672173407,1230.9120022719603,7.4123841336758565,egocentric,35,527,12,26.037096228155182,713.4921608706544,817.3102994243669,301.67885806418417,-5.101411569776653,-0.11984746505527584,-36.37845270121966,-0.3527842842749495,23.07916784792586,0.8021580819217298,-0.4945183480392644
52,different,cheese,F,F,1639463363974,1639176134392,2563,male,45,44,44,1.001312676908788,0,1,1633.6557388257136,1462.8980253072787,6022.35061885874,1240.4494992697366,6.3919813498313,othercentric,56,193,12,13.199372675826282,827.8218049226438,756.0039995570195,76.47827978628473,17.883056048032397,0.14445592535135823,-47.0114706836745,-0.4444015078057184,-97.60829610237002,-1.0472105064721065,0.4992716040526467
53,same,shoe,L,L,1638998000896,1638995196788,673,female,65,44,44,1.00077927877393,1,0,1633.6569549890603,1462.896958289242,6022.350545978442,1693.0880160619183,6.773316365622417,mixed,38,804,12,42.76926386171163,974.0922012209326,1071.3815621005563,101.53765823138048,1.444153298031213,0.12403624027182403,-17.67848067448968,-0.07534763366451465,-80.62303143130586,-0.3712031454331372,-0.4816034774494863
54,different,lemon,L,L,1638812235810,1639005268186,1687,male,51,43,43,0.9762643051587896,1,0,1633.656728534827,1462.8986200224638,6022.350382807549,1556.0508596932941,6.819320749335136,egocentric,43,719,12,44.17381554773777,726.1062667834925,794.4473527472907,62.09889601592532,-12.029676977939666,-0.17224084077148394,-38.080972690087336,-0.031666667110692104,-104.92814032214748,-0.6732930292493178,0.5172250694546224
55,same,cap,L,L,1639002797223,1639020574766,1377,male,33,44,44,1.000974877599193,1,0,1633.656896654453,1462.8978156883145,6022.350333592484,3632.0228167708688,6.143494215509489,mixed,58,175,12,45.53719433441692,754.4214479853537,1075.0121557634616,125.45529878449257,-15.338728330803026,0.12758813436838154,-42.65555669045716,-0.2557800317235792,-10.162230588989292,-0.22686003856938292,-0.487721321996904
56,same,kettle,L,F,1639003549889,1638995168249,865,male,43,44,44,0.999568297002753,1,0,1633.657458520246,1462.8974042401605,6022.350562481898,1285.5263382273756,6.639557629151118,mixed,32,732,12,62.11178512142246,823.0927133778786,870.938378781266,179.29768649953397,-5.076969786765977,-0.07906941498939968,-9.488476552581055,-0.202386521505785,-25.181934349100686,-0.1845356303975531,-0.4685832353664317
57,same,shoe,F,B,1638896659414,1639427959584,2411,male,42,44,44,1.0016032681690334,1,0,1633.6567268314604,1462.8984135238668,6022.350251512073,1358.20109214142,6.803923546168254,othercentric,63,145,12,13.485996902814565,960.4092678489336,843.6690286626745,165.34825505808504,9.6754709308463,-0.004530485560179279,-48.5957015698707,-0.48166371055344903,-43.09469918824748,1.786036685782324,0.5103922582463122
58,different,shoe,L,B,1638916913073,1639009576151,767,male,57,44,44,1.000766096034415,1,0,1633.6569890750995,1462.8983615003178,6022.350595174317,1318.821964586475,6.875596516250801,mixed,27,645,12,32.278512103640026,669.3906485129473,884.1191392581093,115.22645331207616,3.4555550285648917,-0.1270698490380593,-15.448108411617959,-0.26896618875664974,-79.02592494610393,-0.7004105033240775,0.5110436001629015
59,same,kettle,F,L,1639002748798,1639433991874,783,female,58,44,44,1.000076997272325,1,0,1633.6565655707848,1462.8976373147975,6022.35113615933,792.7250017734737,6.729730980073189,othercentric,37,709,12,57.9516122928507,959.5260975968417,720.0996851374624,232.3949501871434,2.79625105683599,-0.11387091422684287,0.3500415288873633,0.03626253512014624,-37.7608826104943,0.36715280596653793,-0.48689368038097386
60,same,crab,L,B,1638555137428,1639190810070,613,female,47,38,44,0.9563484047333006,1,0,1633.6574362328251,1462.8976140632956,6022.35032853865,1173.6541033589074,6.703268464458583,mixed,46,1265,12,96.47048924001393,949.8180340189357,1001.7117436035728,225.7758392362295,-11.296612990286022,-0.02046163572706408,46.61737967958432,0.42152707200082784,149.55359604921455,2.437865253972747,-0.5036927073201788
61,same,glove,R,R,1638570868042,1638556285254,1066,male,26,44,44,0.9992865412923192,1,0,1633.6566092434039,1462.8979938678497,6022.351233429166,3741.8486050316465,6.703730168643592,mixed,34,831,12,54.42943985333028,675.0196157742996,847.068164102887,118.1695919533803,-17.87275695259096,-0.10465484002216001,42.551420289504605,0.12151189799550205,65.72787277294944,0.27338779071652997,-0.48675900052821114
62,different,shoe,B,F,1639429257103,1638812444772,825,male,40,44,44,0.9999745039095035,1,0,1633.6582659701307,1462.8982171615146,6022.35101960318,1597.8126447239279,6.493313656292278,egocentric,27,1119,12,99.707117551433,752.4087048932194,979.11833731106,187.35834477012105,0.5997684405585972,-0.017751650385412054,-10.85977881440564,0.054588100933556954,9.144833309561566,0.09735726841424641,0.512054528986316
63,same,frog,L,L,1639474856147,1639542330363,1894,male,27,44,44,0.9095524975765485,0,1,1633.657467976554,1462.8967436219536,6022.350491431551,1992.7012921177673,6.345215075822422,mixed,51,1359,10,103.99751779003218,800.3735895825224,978.4431096305203,246.7239540888754,5.978263381339151,0.0742345611343863,49.69519269855523,0.3867308916072324,114.23010126439485,1.339000767243869,-0.4965693371172303
64,different,key,F,L,1638810549688,1638566777573,597,male,26,39,44,1.0000129855879958,1,1,1633.6577475635809,1462.8967415076795,6022.350601758212,2039.7719730896338,7.411524640782851,mixed,48,1075,12,91.09404121242189,779.4398410698317,877.7410853873387,292.05636488001096,0.7419803629935613,-0.0636504522331569,26.408506584278854,0.19110281437527052,-24.176395034866154,1.0159727389836388,0.5092185876971915
65,same,plant,L,L,1639069129037,1639529174949,837,male,38,44,44,1.0000019470383081,1,0,1633.6581679966098,1462.8972028618455,6022.351093377998,1835.7818226989148,6.319147719978073,mixed,61,216,12,18.70630600928214,627.3837718596777,912.6059835944957,80.94780942339527,15.629981134241628,0.1686147859405636,-54.38820468668082,-0.45497964345355946,11.323979118349477,0.2951600852776731,-0.49043367537067645
66,different,key,L,L,1639075425864,1639190788229,3391,male,34,42,43,0.8690955432964383,1,1,1633.6579588617851,1462.8980013222626,6022.350980418253,1492.4651063771146,7.6653811525734135,mixed,35,1318,12,121.28244528878267,785.2655356671735,1357.6242170142236,315.2093051718452,-14.289946313082432,-0.13573032352763872,62.15642275533406,0.5404127528075893,142.59398375993734,1.0725457286585258,0.48732915107787894
67,same,kettle,L,L,1638992329443,1639003907439,651,female,46,43,44,0.9781096902870379,1,0,1633.6569656970496,1462.899618403785,6022.35039019702,2266.359090693785,6.767724614906198,egocentric,47,71,12,3.195551458876565,972.7189669131134,741.2800899638771,248.60653114986758,4.496175320306093,0.16332672328137351,-45.546328149297004,-0.3842137998544245,38.08881988881055,0.3868242051944417,-0.4991873292807388
68,different,crab,B,F,1638844821623,1638924877334,655,male,32,44,44,1.0004644122066473,1,0,1633.6573007754268,1462.8978545293546,6022.350684680954,1578.1061545091763,7.748747402443892,othercentric,47,248,12,55.516761614280554,755.3763410090726,883.7239769668801,177.04582748817933,2.2178312768721633,-0.004774497156206713,-41.384776981427315,-0.4117216235151685,-19.06912741907563,0.13438348646221282,0.5099152732234044
